分类，url, 项目名称, star数量
2. 数据集,https://github.com/4paradigm/OpenMLDB,OpenMLDB,1662
3. 工具,https://github.com/4paradigm/k8s-vgpu-scheduler,k8s-vgpu-scheduler,572
3. 工具,https://github.com/4paradigm/AutoX,AutoX,539
4. 其他,https://github.com/4paradigm/openaios-platform,openaios-platform,98
4. 其他,https://github.com/4paradigm/pafka,pafka,67

1. 模型,https://github.com/AgibotTech/agibot_x1_infer,agibot_x1_infer,1717
1. 模型,https://github.com/AgibotTech/agibot_x1_train,agibot_x1_train,1563
1. 模型,https://github.com/AgibotTech/EnerVerse-AC,EnerVerse-AC,111
4. 其他,https://github.com/AgibotTech/agibot_x1_hardware,agibot_x1_hardware,978
4. 其他,https://github.com/AgibotTech/Genie-Envisioner,Genie-Envisioner,240
3. 工具,https://github.com/AgibotTech/genie_sim,genie_sim,273
2. 数据集,https://github.com/AgibotTech/EWMBench,EWMBench,82


工具,https://github.com/FFTAI/teleoperation,teleoperation,122
工具,https://github.com/FFTAI/Wiki-GRx-Deploy,Wiki-GRx-Deploy,112
工具,https://github.com/FFTAI/Wiki-GRx-MJCF,Wiki-GRx-MJCF,53
其他,https://github.com/FFTAI/fourier-lerobot,fourier-lerobot,67
其他,https://github.com/FFTAI/Wiki-GRx-Gym,Wiki-GRx-Gym,55
其他,https://github.com/FFTAI/Wiki-GRx-Pipeline,Wiki-GRx-Pipeline,50

模型,https://github.com/fudan-generative-vision/hallo,hallo,8571
模型,https://github.com/fudan-generative-vision/champ,champ,4232
模型,https://github.com/fudan-generative-vision/hallo2,hallo2,3600
模型,https://github.com/fudan-generative-vision/hallo3,hallo3,1302
模型,https://github.com/fudan-generative-vision/DicFace,DicFace,435
数据集,https://github.com/fudan-generative-vision/dynamicPDB,dynamicPDB,762
数据集,https://github.com/fudan-generative-vision/OpenHumanVid,OpenHumanVid,274

1. 模型（中文法律大模型）,https://github.com/FudanDISC/DISC-LawLLM,DISC-LawLLM,777
1. 模型（中文金融大语言模型）,https://github.com/FudanDISC/DISC-FinLLM,DISC-FinLLM,768
1. 模型（医疗大语言模型）,https://github.com/FudanDISC/DISC-MedLLM,DISC-MedLLM,550
4. 其他（社交智能体资源集合）,https://github.com/FudanDISC/SocialAgent,SocialAgent,179
4. 其他（无描述，暂归类）,https://github.com/FudanDISC/SocioVerse,SocioVerse,119

4. 其他,https://github.com/IAAR-Shanghai/SurveyX,SurveyX,898  
4. 其他,https://github.com/IAAR-Shanghai/CTGSurvey,CTGSurvey,185  
4. 其他,https://github.com/IAAR-Shanghai/ICSFSurvey,ICSFSurvey,169  
4. 其他,https://github.com/IAAR-Shanghai/PGRAG,PGRAG,53  
3. 工具,https://github.com/IAAR-Shanghai/Awesome-Attention-Heads,Awesome-Attention-Heads,361  
3. 工具,https://github.com/IAAR-Shanghai/Meta-Chunking,Meta-Chunking,246  
3. 工具,https://github.com/IAAR-Shanghai/xFinder,xFinder,177  
3. 工具,https://github.com/IAAR-Shanghai/xVerify,xVerify,128  
2. 数据集,https://github.com/IAAR-Shanghai/CRUD_RAG,CRUD_RAG,328  
2. 数据集,https://github.com/IAAR-Shanghai/UHGEval,UHGEval,174  
1. 模型,https://github.com/IAAR-Shanghai/QAEncoder,QAEncoder,175  
1. 模型,https://github.com/IAAR-Shanghai/Grimoire,Grimoire,117

其他,https://github.com/infinigence/Infini-Megrez,Infini-Megrez,326
其他,https://github.com/infinigence/Infini-Megrez-Omni,Infini-Megrez-Omni,239
工具,https://github.com/infinigence/FlashOverlap,FlashOverlap,161
工具,https://github.com/infinigence/Semi-PD,Semi-PD,107
数据集,https://github.com/infinigence/LVEval,LVEval,70


3. 工具（机器人动态控制软件包）,https://github.com/loongOpen/OpenLoong-Dyn-Control,OpenLoong-Dyn-Control,215  
3. 工具（强化学习开发工具包）,https://github.com/loongOpen/Unity-RL-Playground,Unity-RL-Playground,151  
